Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp
blackberry/Ripple-Framework,2011-07-27 12:26:14+00:00,23857,28,C++,9,72,5,9,2017-11-24 19:15:32+00:00
stuntrally/stuntrally,2011-04-10 15:18:49+00:00,886055,227,C++,70,5,34,9,2017-11-24 18:30:39+00:00
mrtazz/plustache,2010-04-19 17:20:00+00:00,1887,194,C++,43,5,16,7,2018-02-27 16:57:27+00:00
aseba-community/aseba,2011-08-11 14:03:08+00:00,25923,28,C++,56,210,23,21,2017-11-24 19:21:48+00:00
inventos/OpenHttpStreamer,2010-11-24 09:27:14+00:00,122,39,C++,17,4,7,2,2017-04-08 17:02:17+00:00
euroelessar/jreen,2011-05-19 05:31:45+00:00,1846,30,C++,18,10,7,11,2016-05-27 18:16:16+00:00
eglaysher/rlvm,2008-12-17 07:52:58+00:00,19271,82,C++,16,17,14,7,2017-11-24 19:00:08+00:00
Gnurou/tagainijisho,2011-05-08 09:36:34+00:00,12414,164,C++,33,79,24,11,2017-11-24 18:29:47+00:00
adamvr/arduino-base64,2010-12-21 02:04:17+00:00,263,127,C++,82,16,16,6,2018-10-16 01:47:38+00:00
x37v/jackcpp,2011-04-19 20:34:57+00:00,258,23,C++,6,1,3,2,2017-08-18 12:48:57+00:00
Voker57/qmpdclient,2008-09-06 19:41:58+00:00,770,37,C++,21,10,5,9,2017-11-24 19:39:12+00:00
tomahawk-player/tomahawk,2010-10-15 14:21:17+00:00,123760,2500,C++,385,193,162,76,2017-11-24 18:27:32+00:00
tpuronen/cppspec,2009-03-21 09:33:20+00:00,200,43,C++,9,1,10,3,2017-11-24 19:23:22+00:00
michal-tomlein/itest,2009-02-08 16:40:28+00:00,2539,16,C++,12,1,7,2,2017-11-24 23:58:41+00:00
openstreetmap/osm2pgsql,2010-05-01 20:08:40+00:00,45251,742,C++,312,68,55,65,2016-11-24 16:17:48+00:00
jimjh/liveMedia-for-Android,2011-08-08 09:52:08+00:00,3438,12,C++,10,1,3,0,2017-11-25 00:10:14+00:00
excid3/python-apt,2009-08-20 15:37:49+00:00,562,44,C++,64,2,32,1,2017-11-24 20:11:28+00:00
Groovounet/glm-deprecated,2010-08-17 13:25:34+00:00,23747,116,C++,571,5,13,5,2017-03-05 04:38:14+00:00
facebookarchive/libfbjs,2010-01-12 05:49:35+00:00,1271,22,C++,12,0,7,3,2017-10-19 05:23:53+00:00
shedskin/shedskin,2010-07-02 20:21:59+00:00,32538,242,C++,38,54,35,8,2017-11-24 18:48:40+00:00
mattn/tinytinyhttpd,2009-06-05 03:36:28+00:00,1807,65,C++,14,1,15,4,2017-11-24 18:56:47+00:00
akalend/amqpcpp,2010-05-13 22:06:13+00:00,86,120,C++,88,33,28,9,2017-11-24 18:55:57+00:00
thekvs/erlang-murmurhash,2011-03-14 13:59:58+00:00,179,27,C++,11,0,4,3,2017-04-09 06:02:57+00:00
mtconnect/cppagent,2009-09-18 20:44:57+00:00,47009,37,C++,36,11,31,3,2017-11-24 19:54:27+00:00
adafruit/RTClib,2010-03-12 03:30:18+00:00,318,504,C++,513,20,91,27,2019-10-26 01:15:38+00:00
ReVolly/NsisDotNetChecker,2011-07-06 15:27:42+00:00,184,42,C++,28,8,15,3,2017-11-24 19:41:41+00:00
Elbandi/flvtool-pp,2010-07-27 14:09:12+00:00,122,4,C++,5,0,2,2,2016-05-27 17:24:28+00:00
rhtyd/cmakeqt,2009-09-18 21:17:16+00:00,264,50,C++,18,0,11,3,2017-04-04 14:35:08+00:00
bruceg/vmailmgr,2010-11-11 17:15:36+00:00,628,4,C++,5,3,4,1,2019-06-22 21:37:23+00:00
frankee/Cetty,2011-06-23 07:54:30+00:00,4046,12,C++,6,4,4,1,2017-06-07 21:36:37+00:00
stevenlovegrove/Pangolin,2010-11-20 01:50:32+00:00,3721,468,C++,283,83,42,10,2017-11-24 18:18:44+00:00
dhruvbird/http-sync,2011-06-13 06:36:36+00:00,376,68,C++,25,9,6,13,2018-10-16 17:33:20+00:00
nitram2342/degate,2009-11-13 16:08:19+00:00,44318,84,C++,25,3,20,7,2017-05-08 08:17:50+00:00
mscdex/node-ncurses,2010-05-09 04:35:36+00:00,6982,366,C++,27,16,16,7,2016-11-24 14:08:27+00:00
Heeks/heekscnc-old,2011-07-07 18:13:59+00:00,8956,57,C++,33,15,26,7,2017-11-24 19:02:13+00:00
uncrustify/uncrustify,2009-10-17 18:39:53+00:00,17749,2024,C++,404,204,76,80,2017-05-19 14:33:45+00:00
nturner/log4cxx,2010-07-07 14:45:57+00:00,12628,1,C++,38,0,1,1,2018-01-20 22:55:10+00:00
Deceth/Battle-City,2009-05-11 21:22:48+00:00,25487,34,C++,20,38,10,3,2017-11-24 19:39:42+00:00
springmeyer/mapnik-mongo,2011-07-23 02:44:58+00:00,1628,18,C++,8,4,6,2,2017-11-24 23:24:50+00:00
ulfhermann/openttd,2010-06-06 17:41:39+00:00,317364,37,C++,11,4,5,7,2017-08-04 01:47:11+00:00
smistad/OpenCL-GVF,2011-08-06 13:47:51+00:00,69,20,C++,6,0,2,1,2017-06-21 22:37:03+00:00
joelburget/slimlock,2010-09-29 01:58:54+00:00,301,30,C++,18,6,4,6,2017-11-24 19:39:24+00:00
wangd/SciDB-HDF5,2011-01-18 21:06:53+00:00,351,14,C++,8,1,5,3,2017-09-11 23:36:42+00:00
OpenMW/openmw,2009-08-23 14:46:21+00:00,50575,2115,C++,635,45,243,112,2017-11-24 18:46:12+00:00
lemire/fasthashing,2010-10-25 18:05:40+00:00,163,27,C++,6,0,3,2,2017-11-24 19:30:31+00:00
wmorgan/leveldb-ruby,2011-06-17 05:50:10+00:00,579,138,C++,31,14,5,7,2016-11-24 13:50:06+00:00
cruppstahl/upscaledb,2010-08-02 08:13:41+00:00,34874,390,C++,43,13,34,6,2016-11-24 16:27:44+00:00
lindenb/cclindenb,2010-06-11 18:41:53+00:00,63,16,C++,9,1,3,2,2017-11-24 23:21:59+00:00
AndrewWalker/Dubins-Curves,2010-11-08 23:48:38+00:00,598,95,C++,46,4,2,1,2017-11-24 20:12:50+00:00
vir/yate,2010-11-16 09:54:14+00:00,21163,63,C++,26,6,23,1,2017-11-24 19:01:22+00:00
philbinj/fastann,2009-11-03 15:48:30+00:00,118,17,C++,5,0,3,1,2016-08-05 10:47:04+00:00
sjasmplus/sjasmplus,2011-03-14 04:25:06+00:00,2131,27,C++,11,4,10,2,2016-12-21 10:21:40+00:00
marmalade/zbar,2011-08-10 16:22:25+00:00,2564,6,C++,7,0,2,1,2017-11-25 11:17:59+00:00
ryantm/LSM303DLH,2011-01-20 18:08:12+00:00,200,14,C++,16,0,1,2,2017-11-24 23:15:37+00:00
panzi/Yakuake,2009-11-14 22:58:34+00:00,693,13,C++,5,0,8,24,2017-08-18 14:56:21+00:00
arktools/jsbsim,2011-03-06 20:37:34+00:00,28650,31,C++,51,6,4,6,2017-09-11 12:36:59+00:00
ajfisher/arduino-analog-multiplexer,2011-03-28 09:48:32+00:00,35,22,C++,12,4,6,2,2017-11-24 19:32:34+00:00
brown/protobuf,2008-10-17 16:14:43+00:00,1951,48,C++,11,8,6,1,2017-11-24 19:45:00+00:00
Wyk3d/YafaRay,2010-04-29 21:17:07+00:00,2306,11,C++,39,0,2,3,2017-11-24 21:46:36+00:00
eomahony/Numberjack,2010-07-23 15:41:42+00:00,7934,104,C++,28,13,22,9,2017-11-24 19:06:50+00:00
jselbie/stunserver,2011-08-11 05:02:59+00:00,623,713,C++,213,1,90,4,2018-02-27 16:59:47+00:00
briantrice/slate-language,2009-02-02 23:10:29+00:00,4605,105,C++,5,2,11,2,2017-11-24 18:03:01+00:00
apache/harmony-drlvm,2009-05-20 02:01:55+00:00,12420,4,C++,7,0,7,1,2017-03-02 22:58:48+00:00
VDrift/vdrift,2010-12-17 15:29:21+00:00,21328,150,C++,59,27,24,16,2017-06-24 08:38:56+00:00
saebyn/munkres-cpp,2010-01-19 00:21:55+00:00,204,74,C++,32,5,12,3,2017-11-24 19:48:12+00:00
antonvw/wxExtension,2011-04-28 10:21:42+00:00,27810,10,C++,5,2,2,4,2017-11-24 23:11:13+00:00
armstrtw/tslib,2009-01-23 13:21:22+00:00,211,19,C++,11,0,5,1,2017-04-04 14:32:35+00:00
tmm1/cycript,2011-03-25 02:10:51+00:00,917,24,C++,12,1,6,0,2017-11-09 09:57:53+00:00
ntadej/tano,2011-05-23 15:25:44+00:00,26964,40,C++,18,11,14,3,2017-11-24 19:37:36+00:00
Blizzard/FailoverQueue,2011-02-28 16:51:01+00:00,110,61,C++,7,0,34,1,2017-08-02 07:39:54+00:00
scalien/keyspace,2010-04-14 17:10:59+00:00,6011,36,C++,15,1,14,5,2017-11-24 20:13:45+00:00
neosmart/ln-win,2011-02-20 10:22:45+00:00,104,28,C++,7,0,7,1,2017-11-24 19:37:13+00:00
bakercp/ofxIpVideoGrabber,2011-04-25 20:05:46+00:00,1305,58,C++,18,3,9,2,2017-11-24 19:52:55+00:00
okeuday/GEPD,2009-03-10 05:31:53+00:00,100,65,C++,10,0,11,2,2017-11-24 18:58:00+00:00
rlaager/docsis,2010-05-26 21:29:51+00:00,4183,46,C++,29,20,16,8,2017-05-22 21:37:07+00:00
wetadigital/lensDistortion_3de,2011-04-18 07:56:12+00:00,215,34,C++,11,1,6,1,2017-11-24 19:31:43+00:00
scalien/scaliendb,2010-06-11 12:47:08+00:00,9416,57,C++,7,72,9,6,2017-03-04 15:39:15+00:00
OpenJabNab/OpenJabNab,2011-05-15 11:55:48+00:00,2144,99,C++,46,11,17,11,2017-10-07 09:37:32+00:00
windytan/redsea,2011-07-08 10:05:12+00:00,974,221,C++,15,2,32,1,2017-02-24 02:22:18+00:00
MaZderMind/osm-history-splitter,2011-05-28 15:44:23+00:00,790,20,C++,18,2,5,6,2017-05-08 19:16:45+00:00
fajran/npTuioClient,2009-06-26 23:48:49+00:00,399,90,C++,19,1,9,2,2017-11-24 19:00:27+00:00
evanw/rapt,2010-11-20 23:36:26+00:00,5339,178,C++,33,4,10,4,2017-11-24 18:40:06+00:00
TNG/boost-python-examples,2011-03-25 15:21:03+00:00,118,506,C++,155,2,34,4,2017-02-22 16:59:08+00:00
ctSkennerton/crass,2011-06-17 07:08:48+00:00,7030,14,C++,8,9,4,2,2017-04-04 14:45:09+00:00
rcaelers/workrave,2009-05-04 18:51:24+00:00,77868,546,C++,131,12,45,30,2017-11-24 18:50:35+00:00
facebook/pyre2,2010-03-16 18:45:15+00:00,42,533,C++,145,0,35,13,2019-10-12 18:14:37+00:00
bittorrent/libutp,2010-05-20 22:32:57+00:00,264,812,C++,204,37,125,15,2017-11-24 18:47:00+00:00
wimleers/sudoku,2010-10-30 08:13:31+00:00,3544,64,C++,32,1,9,2,2017-11-24 19:06:18+00:00
Eigenlabs/EigenD,2011-04-20 14:07:25+00:00,197397,52,C++,12,18,16,3,2017-11-24 19:35:38+00:00
wibbe/canvas-cpp,2010-08-10 19:14:56+00:00,332,12,C++,6,0,2,1,2017-07-15 15:36:39+00:00
vcflib/vcflib,2010-09-22 23:25:59+00:00,28466,274,C++,127,112,44,18,2017-11-24 18:33:08+00:00
xoreos/xoreos,2010-08-10 00:39:01+00:00,23419,522,C++,89,19,113,24,2017-11-24 18:30:23+00:00
tegesoft/camp,2010-04-16 13:42:17+00:00,3958,72,C++,25,0,14,5,2017-03-04 17:21:09+00:00
