Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits,clone_date,developers_count,commit_count_after_introduction
NosCoreIO/NosCore,2018-01-21 08:28:57+00:00,5768,67,C#,30,36,16,1,GPL-3.0,2018-01-21 16:03:42+00:00,43.0,3446.0,2026-06-16 01:54:57.168480,45,3569
anoyetta/ACT.Hojoring,2017-11-03 12:47:42+00:00,310139,191,C#,50,45,50,1,BSD-3-Clause,2018-01-17 10:38:20+00:00,21.0,3281.0,2026-06-16 01:55:00.376028,24,3502
getsentry/sentry-dotnet,2018-05-14 14:29:17+00:00,3791,76,C#,33,20,8,1,MIT,2018-10-03 10:05:53+00:00,79.0,2986.0,2026-06-16 01:55:15.612448,120,4081
PoESkillTree/PoESkillTree,2014-08-16 05:55:28+00:00,44341,519,C#,114,17,79,21,MIT,2018-01-16 21:24:32+00:00,32.0,2548.0,2026-06-16 01:55:23.853283,32,2548
ExtendRealityLtd/VRTK,2016-04-23 20:55:19+00:00,92151,2982,C#,889,25,288,36,MIT,2017-03-23 16:18:45+00:00,65.0,2473.0,2026-06-16 01:55:29.118215,65,2473
moq/moq,2017-02-28 15:48:46+00:00,694,91,C#,18,6,9,1,MIT,2017-03-30 00:13:51+00:00,139.0,2345.0,2026-06-16 01:55:36.332529,146,2402
elfinlazz/aura-2,2015-08-28 15:45:15+00:00,57578,5,C#,88,0,0,0,GPL-3.0,2017-01-25 06:54:10+00:00,22.0,2234.0,2026-06-16 01:55:40.016961,22,2234
aws/aws-lambda-dotnet,2016-11-11 20:43:34+00:00,20586,629,C#,206,97,117,61,Apache-2.0,2019-10-25 06:19:14+00:00,187.0,2223.0,2026-06-16 01:55:45.087139,207,2737
rsdn/CodeJam,2016-03-16 06:38:38+00:00,13875,159,C#,29,4,29,11,MIT,2019-12-29 13:18:38+00:00,17.0,2214.0,2026-06-16 01:55:51.065578,17,2217
exercism/csharp,2014-02-28 09:24:11+00:00,3013,108,C#,116,7,13,17,MIT,2017-11-24 19:06:01+00:00,212.0,2213.0,2026-06-16 01:55:54.197870,240,2381
Chillisoft/habanero,2013-10-31 08:28:54+00:00,128138,4,C#,7,47,12,11,GPL-3.0,2017-05-01 18:18:24+00:00,26.0,2124.0,2026-06-16 01:55:56.838948,26,1778
SolrNet/SolrNet,2010-03-04 02:01:20+00:00,125024,800,C#,774,62,117,80,Apache-2.0,2019-06-25 22:46:03+00:00,122.0,2046.0,2026-06-16 01:56:05.647499,127,2036
Wyamio/Wyam,2014-09-22 13:45:30+00:00,32980,1132,C#,206,218,80,44,MIT,2018-01-16 21:32:53+00:00,71.0,1737.0,2026-06-16 01:56:12.940872,71,1737
stormpath/stormpath-sdk-dotnet,2015-07-29 21:34:48+00:00,7195,51,C#,11,1,37,6,Apache-2.0,2018-11-17 08:28:27+00:00,8.0,1511.0,2026-06-16 01:56:16.675253,8,1511
Samsung/Tizen-CSharp-Samples,2017-09-01 01:47:10+00:00,133001,50,C#,66,2,39,2,Apache-2.0,2017-09-06 01:36:18+00:00,148.0,1415.0,2026-06-16 01:56:19.094188,158,1490
microsoft/dotnet-apiport,2014-12-12 18:04:11+00:00,3444,716,C#,125,48,153,22,MIT,2017-03-23 16:16:45+00:00,49.0,1277.0,2026-06-16 01:56:28.646979,49,1277
ReClassNET/ReClass.NET,2016-10-10 12:38:27+00:00,13317,175,C#,44,25,26,1,MIT,2016-10-10 12:38:31+00:00,26.0,1240.0,2026-06-16 01:56:31.608286,26,1240
ControlzEx/ControlzEx,2015-10-10 09:38:46+00:00,12775,394,C#,65,7,44,10,MIT,2020-01-12 13:18:39+00:00,21.0,1216.0,2026-06-16 01:56:34.438583,23,1276
SpiceSharp/SpiceSharp,2017-06-06 15:59:45+00:00,10768,36,C#,11,5,8,3,MIT,2019-08-20 21:19:00+00:00,9.0,1212.0,2026-06-16 01:56:37.187121,10,1246
phorcys/Taiwu_mods,2018-09-25 07:09:36+00:00,7782,667,C#,575,21,63,34,MIT,2019-04-12 06:14:15+00:00,68.0,1184.0,2026-06-16 01:56:40.655031,69,1187
oleg-shilo/wixsharp,2016-01-16 05:51:01+00:00,47874,461,C#,99,12,37,25,MIT,2019-12-20 14:20:07+00:00,56.0,1168.0,2026-06-16 01:56:43.058411,71,1718
siteserver/cms,2017-04-26 06:56:34+00:00,99660,1906,C#,806,1794,184,9,GPL-3.0,2020-01-01 04:18:35+00:00,16.0,1155.0,2026-06-16 01:56:49.305640,16,1284
lunet-io/scriban,2016-01-25 14:26:37+00:00,1495,593,C#,105,43,33,21,BSD-2-Clause,2019-12-06 17:19:01+00:00,66.0,1145.0,2026-06-16 01:57:00.115512,84,1291
fga-eps-mds/2018.1-Reabilitacao-Motora,2018-03-06 21:42:21+00:00,284707,8,C#,9,15,15,10,MIT,2019-11-12 20:15:22+00:00,21.0,1124.0,2026-06-16 01:57:02.427022,21,1124
FOGProject/fog-client,2015-07-05 18:13:15+00:00,31508,47,C#,18,19,26,4,GPL-3.0,2017-11-24 19:46:51+00:00,13.0,1107.0,2026-06-16 01:57:15.698196,13,1107
splunk/splunk-sdk-csharp-pcl,2014-02-12 18:32:47+00:00,63652,55,C#,35,18,60,17,Apache-2.0,2019-09-09 21:19:07+00:00,27.0,1095.0,2026-06-16 01:57:20.160026,27,1095
JasonStein/Notepads,2019-06-01 01:20:33+00:00,23776,881,C#,58,51,29,23,MIT,2019-10-28 09:47:57+00:00,70.0,1082.0,2026-06-16 01:57:25.507760,72,1098
Chris3606/GoRogue,2017-11-26 05:25:44+00:00,4993,192,C#,12,20,16,4,MIT,2019-08-24 04:18:40+00:00,9.0,1076.0,2026-06-16 01:57:29.646448,11,1096
Platonymous/Stardew-Valley-Mods,2017-02-05 15:09:24+00:00,75913,25,C#,32,11,5,11,GPL-3.0,2019-06-06 18:23:07+00:00,33.0,1035.0,2026-06-16 01:57:32.367135,33,1035
GuOrg/Gu.Localization,2014-11-01 12:00:13+00:00,4760,23,C#,7,14,4,8,MIT,2018-12-03 03:18:20+00:00,13.0,1029.0,2026-06-16 01:57:41.471604,13,1029
gregsdennis/Manatee.Trello,2016-06-23 14:40:36+00:00,22664,86,C#,29,17,11,11,MIT,2019-12-14 21:32:42+00:00,24.0,950.0,2026-06-16 01:57:43.757565,24,950
danielgerlag/workflow-core,2016-11-15 23:32:24+00:00,1410,1848,C#,445,78,183,18,MIT,2020-01-12 05:18:45+00:00,89.0,946.0,2026-06-16 01:57:46.970182,115,1102
smartsheet-platform/smartsheet-csharp-sdk,2014-03-18 18:31:48+00:00,25561,21,C#,17,7,16,17,Apache-2.0,2019-11-08 23:19:47+00:00,29.0,943.0,2026-06-16 01:57:49.246450,29,943
Fody/MethodDecorator,2012-05-03 18:05:38+00:00,1975,116,C#,69,0,14,20,MIT,2019-08-21 11:18:57+00:00,23.0,942.0,2026-06-16 01:57:53.699206,23,952
d60/Cirqus,2014-08-08 18:11:49+00:00,48115,183,C#,41,19,31,11,MIT,2017-03-23 16:14:51+00:00,12.0,934.0,2026-06-16 01:57:56.039576,12,934
vipoo/iRacingReplayOverlay.net,2014-04-13 00:55:45+00:00,1355,14,C#,7,37,6,2,GPL-3.0,2018-01-17 11:26:13+00:00,8.0,929.0,2026-06-16 01:58:01.236807,8,929
GitTools/GitReleaseManager,2015-03-12 21:32:50+00:00,4831,115,C#,13,31,8,13,MIT,2019-11-19 21:18:58+00:00,26.0,928.0,2026-06-16 01:58:03.332385,27,1065
nextcloud/windows-universal,2016-10-20 14:48:27+00:00,10847,35,C#,27,37,10,1,MPL-2.0,2016-10-21 21:52:57+00:00,19.0,906.0,2026-06-16 01:58:05.842532,19,906
waliarubal/Jaya,2019-04-19 11:29:49+00:00,1715,85,C#,12,3,4,1,MIT,2019-10-23 11:52:58+00:00,6.0,905.0,2026-06-16 01:58:08.967619,6,905
kubernetes-client/csharp,2017-05-12 17:18:11+00:00,3404,285,C#,95,16,30,37,Apache-2.0,2019-12-21 06:18:43+00:00,121.0,885.0,2026-06-16 01:58:11.496788,129,998
dotnetcore/SmartSql,2017-04-01 13:26:07+00:00,4900,609,C#,152,18,69,3,Apache-2.0,2019-06-03 10:19:22+00:00,19.0,870.0,2026-06-16 01:58:14.642108,20,891
AvaloniaUI/AvaloniaVS,2015-08-28 14:07:18+00:00,13723,24,C#,20,26,11,4,MIT,2017-11-24 19:44:17+00:00,44.0,868.0,2026-06-16 01:58:17.052767,48,919
jeremytammik/the_building_coder_samples,2013-10-14 15:37:29+00:00,1440,114,C#,64,0,48,2,MIT,2017-09-27 12:36:54+00:00,7.0,825.0,2026-06-16 01:58:20.363006,7,826
ramtinak/InstagramApiSharp,2018-05-15 23:28:43+00:00,3335,195,C#,74,7,38,10,MIT,2019-07-03 00:18:48+00:00,28.0,819.0,2026-06-16 01:58:22.939844,28,846
PrometheusClientNet/Prometheus.Client,2017-03-03 09:44:01+00:00,561,52,C#,19,5,6,4,MIT,2020-01-10 21:21:54+00:00,14.0,782.0,2026-06-16 01:58:25.156198,15,929
HPECM/Community,2016-07-14 05:30:41+00:00,78672,12,C#,6,0,12,1,BSD-2-Clause,2016-08-30 16:43:35+00:00,10.0,768.0,2026-06-16 01:58:27.205284,10,768
Vannevelj/VSDiagnostics,2015-05-03 16:33:02+00:00,1337,57,C#,13,198,7,5,GPL-2.0,2019-03-05 17:42:17+00:00,13.0,763.0,2026-06-16 01:58:35.979388,13,763
sonvister/Binance,2017-10-20 18:57:20+00:00,4665,148,C#,63,6,26,3,MIT,2019-09-20 16:18:42+00:00,4.0,761.0,2026-06-16 01:58:38.878307,4,761
LoL-Fantome/Fantome.Libraries.League,2017-05-09 19:28:40+00:00,2563,22,C#,12,1,4,4,GPL-3.0,2020-01-11 17:18:37+00:00,12.0,761.0,2026-06-16 01:58:41.530045,15,810
fairygui/FairyGUI-unity,2015-11-10 06:39:27+00:00,82512,1362,C#,372,15,149,2,MIT,2017-03-23 16:13:41+00:00,24.0,749.0,2026-06-16 01:58:48.334764,28,767
punker76/gong-wpf-dragdrop,2013-02-06 19:45:05+00:00,23423,1167,C#,276,23,94,30,BSD-3-Clause,2019-07-26 22:18:53+00:00,49.0,745.0,2026-06-16 01:58:55.399356,53,788
rstropek/Samples,2014-02-18 06:26:15+00:00,87003,166,C#,223,1,48,1,LGPL-3.0,2017-11-24 19:04:59+00:00,9.0,744.0,2026-06-16 01:58:58.668798,12,925
iamoldli/NetModular,2019-04-04 12:53:29+00:00,21748,461,C#,174,1,36,1,MIT,2019-06-27 09:10:11+00:00,20.0,743.0,2026-06-16 01:59:07.558320,22,759
Dynatrace/openkit-dotnet,2018-04-12 14:12:21+00:00,1702,8,C#,13,1,11,14,Apache-2.0,2019-10-31 10:18:39+00:00,18.0,735.0,2026-06-16 01:59:11.107748,18,739
dotnet-presentations/aspnetcore-app-workshop,2017-08-30 19:20:20+00:00,3304,92,C#,52,10,17,7,MIT,2017-09-05 17:29:29+00:00,43.0,727.0,2026-06-16 01:59:13.340729,43,727
EliotVU/Unreal-Library,2013-11-22 17:49:28+00:00,767,65,C#,35,16,12,1,MIT,2016-05-27 14:45:41+00:00,12.0,720.0,2026-06-16 01:59:15.708474,19,1094
minio/minio-dotnet,2015-07-03 18:25:00+00:00,1126,142,C#,69,10,21,27,Apache-2.0,2020-01-08 03:45:18+00:00,80.0,717.0,2026-06-16 01:59:18.398145,92,819
microsoft/qsharp-compiler,2019-06-07 18:48:01+00:00,1727,231,C#,41,35,19,12,MIT,2019-12-18 05:19:15+00:00,49.0,700.0,2026-06-16 01:59:20.650549,49,700
adamralph/liteguard,2013-02-06 21:01:36+00:00,21728,119,C#,16,4,9,2,MIT,2018-02-17 00:25:33+00:00,3.0,693.0,2026-06-16 01:59:31.326616,3,693
bunq/sdk_csharp,2017-07-27 19:22:16+00:00,1120,17,C#,17,13,4,12,MIT,2019-09-16 10:19:01+00:00,22.0,679.0,2026-06-16 01:59:34.421934,26,796
xmlunit/xmlunit.net,2015-01-07 16:53:51+00:00,2742,28,C#,12,1,7,4,Apache-2.0,2016-05-27 14:04:39+00:00,8.0,676.0,2026-06-16 01:59:36.541845,8,724
ProtoTest/ProtoTest.Golem,2013-04-30 19:03:35+00:00,543949,67,C#,45,16,33,8,Apache-2.0,2016-11-03 16:37:25+00:00,14.0,646.0,2026-06-16 01:59:38.736855,14,646
fsprojects/Paket.VisualStudio,2014-10-10 11:57:57+00:00,1483,135,C#,52,58,30,26,MIT,2017-03-23 16:13:19+00:00,32.0,624.0,2026-06-16 02:00:03.325797,32,624
vlingo-net/vlingo-net-actors,2018-04-19 06:01:33+00:00,651,26,C#,14,6,9,7,MPL-2.0,2020-01-12 20:36:08+00:00,8.0,617.0,2026-06-16 02:00:05.282596,8,617
zzzprojects/EntityFramework-Effort,2013-06-21 09:19:18+00:00,19877,384,C#,99,26,27,15,MIT,2019-11-20 17:30:47+00:00,33.0,604.0,2026-06-16 02:00:07.338308,33,606
aelassas/Wexflow,2017-01-04 20:10:21+00:00,136327,1682,C#,405,53,181,14,MIT,2019-12-05 17:19:29+00:00,6.0,602.0,2026-06-16 02:00:10.345472,7,971
mattosaurus/PgpCore,2017-06-02 15:08:27+00:00,234,38,C#,13,2,5,7,MIT,2019-11-20 18:18:49+00:00,34.0,577.0,2026-06-16 02:00:16.304607,38,649
bepu/bepuphysics1,2016-12-16 22:49:32+00:00,33655,144,C#,32,0,19,1,Apache-2.0,2018-12-08 06:18:15+00:00,7.0,571.0,2026-06-16 02:00:18.465628,7,571
sidecut/log4net,2010-03-10 22:35:27+00:00,6395,7,C#,245,2,2,0,Apache-2.0,2017-09-14 02:06:56+00:00,8.0,568.0,2026-06-16 02:00:22.402283,8,63
simphax/Touchmote,2013-01-26 02:16:33+00:00,12702,55,C#,13,49,8,4,GPL-3.0,2017-11-24 19:33:25+00:00,8.0,560.0,2026-06-16 02:00:24.680548,8,560
NexusForever/NexusForever,2018-09-13 02:53:39+00:00,361,69,C#,29,23,22,5,AGPL-3.0,2018-11-15 19:39:19+00:00,40.0,553.0,2026-06-16 02:00:27.260849,45,691
Boris-Barboris/AtmosphereAutopilot,2015-01-01 16:12:08+00:00,12551,14,C#,5,0,10,2,GPL-3.0,2017-11-24 22:54:34+00:00,14.0,549.0,2026-06-16 02:00:30.132078,14,549
AirVPN/Eddie,2014-03-06 16:38:39+00:00,179512,170,C#,45,42,37,3,GPL-3.0,2017-03-23 16:15:36+00:00,6.0,548.0,2026-06-16 02:00:32.871508,6,554
csharpfritz/Fritz.StreamTools,2017-12-12 17:04:49+00:00,921,38,C#,31,16,7,1,MIT,2017-12-12 18:03:18+00:00,35.0,535.0,2026-06-16 02:01:09.393615,35,567
RomSunZ/StockSharp,2015-07-05 05:06:48+00:00,340344,0,C#,8,0,1,9,LGPL-3.0,2017-03-19 13:25:59+00:00,11.0,532.0,2026-06-16 02:01:11.538751,11,532
cmilr/Unity2D-Components,2015-02-09 21:18:00+00:00,1161,207,C#,43,0,26,3,MIT,2017-05-17 05:36:37+00:00,7.0,532.0,2026-06-16 02:01:28.611521,7,532
WorkMaze/JUST.net,2017-05-14 17:38:09+00:00,268,50,C#,15,23,10,5,MIT,2019-11-17 11:28:44+00:00,16.0,528.0,2026-06-16 02:01:30.589240,16,528
sebastienros/yessql,2012-01-28 18:31:44+00:00,3046,601,C#,105,56,59,17,MIT,2019-12-10 00:18:47+00:00,29.0,519.0,2026-06-16 02:01:32.577661,33,568
migueldeicaza/MonoTouch.Dialog,2010-01-18 03:52:48+00:00,917,439,C#,232,68,41,37,MIT,2017-03-23 16:05:29+00:00,46.0,511.0,2026-06-16 02:01:35.018592,46,511
siroky/FuncSharp,2014-09-08 23:41:27+00:00,743,31,C#,8,1,4,16,MIT,2020-01-13 00:22:58+00:00,22.0,491.0,2026-06-16 02:01:36.968177,27,520
xapi-project/xen-api-sdk,2013-06-11 15:18:18+00:00,800,26,C#,43,0,21,13,BSD-2-Clause,2017-11-24 19:21:53+00:00,35.0,485.0,2026-06-16 02:01:39.223330,35,485
AlternateLife/JustAnotherVoiceChat-Server,2017-12-19 15:02:05+00:00,805,19,C#,10,6,8,4,MIT,2018-02-27 23:29:16+00:00,7.0,479.0,2026-06-16 02:01:41.192959,7,479
reactiveui/Sextant,2018-04-09 15:03:45+00:00,1125,36,C#,11,18,14,9,MIT,2019-12-12 07:22:28+00:00,20.0,476.0,2026-06-16 02:01:43.192855,21,624
mperdeck/jsnlog,2012-11-28 09:52:16+00:00,100358,120,C#,29,27,11,6,MIT,2017-08-15 00:48:21+00:00,13.0,469.0,2026-06-16 02:01:45.351391,13,469
aspnet/Options,2014-05-28 23:13:36+00:00,539,143,C#,61,0,49,26,Apache-2.0,2017-11-24 18:54:49+00:00,39.0,464.0,2026-06-16 02:01:51.923576,39,464
helios-io/helios,2013-11-22 04:37:56+00:00,6856,411,C#,119,11,62,7,Apache-2.0,2017-03-23 16:08:13+00:00,6.0,460.0,2026-06-16 02:01:53.824448,6,460
aloneguid/config,2015-08-28 06:45:57+00:00,1700,238,C#,45,11,21,11,MIT,2020-01-03 15:18:56+00:00,24.0,459.0,2026-06-16 02:01:56.093952,24,465
flcdrg/VsShowMissing,2015-06-09 11:57:46+00:00,714,24,C#,5,16,6,3,Apache-2.0,2018-01-16 20:59:40+00:00,11.0,446.0,2026-06-16 02:01:58.110694,11,498
warappa/XamlCSS,2016-05-14 22:04:21+00:00,10094,196,C#,22,13,23,3,MIT,2019-02-10 02:18:50+00:00,5.0,443.0,2026-06-16 02:02:00.292863,5,443
ArcadeRenegade/SidebarDiagnostics,2016-01-20 07:41:58+00:00,987,512,C#,48,71,59,4,GPL-3.0,2018-01-16 21:26:10+00:00,21.0,435.0,2026-06-16 02:02:02.966178,21,435
altmann/FluentResults,2017-03-09 19:21:21+00:00,134,73,C#,10,1,7,3,MIT,2019-12-27 16:18:26+00:00,25.0,435.0,2026-06-16 02:02:05.049601,36,496
PolarisTeam/PolarisServer,2014-11-09 07:05:23+00:00,572,83,C#,51,5,58,12,AGPL-3.0,2017-11-24 18:59:53+00:00,20.0,432.0,2026-06-16 02:02:07.038432,20,432
orlikoski/CyLR,2016-09-06 22:14:44+00:00,9188,84,C#,15,7,20,1,GPL-3.0,2016-09-07 15:37:22+00:00,13.0,423.0,2026-06-16 02:02:08.967964,13,423
FantasticFiasco/serilog-sinks-http,2016-10-31 22:13:36+00:00,281,32,C#,19,1,4,6,Apache-2.0,2019-04-27 06:18:26+00:00,16.0,422.0,2026-06-16 02:02:11.378633,18,526
AdaptiveConsulting/Aeron.NET,2016-05-05 10:59:26+00:00,40274,292,C#,70,1,44,16,Apache-2.0,2019-09-26 15:19:12+00:00,22.0,417.0,2026-06-16 02:02:13.400826,27,476
mchudy/InstantDelivery,2016-02-05 14:56:10+00:00,5253,7,C#,5,0,5,2,MIT,2018-01-17 11:02:52+00:00,2.0,416.0,2026-06-16 02:02:19.457029,2,416
AnyStatus/Plugins,2017-06-15 19:31:17+00:00,1002,26,C#,15,0,5,7,AGPL-3.0,2019-06-20 08:20:30+00:00,12.0,414.0,2026-06-16 02:02:21.719305,12,414
cliftonm/HOPE,2014-05-25 19:19:04+00:00,44045,46,C#,19,1,18,2,GPL-2.0,2018-01-17 07:36:05+00:00,2.0,412.0,2026-06-16 02:02:23.702593,2,412
Inumedia/SlackAPI,2014-06-03 05:27:05+00:00,7970,325,C#,191,42,31,39,MIT,2019-11-24 07:18:53+00:00,72.0,406.0,2026-06-16 02:02:27.788744,72,406
TechnitiumSoftware/BitChatClient,2015-05-04 06:42:19+00:00,2415,62,C#,15,3,18,1,GPL-3.0,2017-11-24 18:56:10+00:00,2.0,405.0,2026-06-16 02:02:30.051205,2,405
aspnet/CORS,2015-02-17 02:17:36+00:00,654,88,C#,43,0,52,23,Apache-2.0,2017-11-24 19:07:10+00:00,46.0,402.0,2026-06-16 02:02:32.125027,46,402
MoonStorm/Dapper.FastCRUD,2015-05-15 00:42:48+00:00,7306,310,C#,94,65,33,8,MIT,2018-01-16 21:18:53+00:00,16.0,400.0,2026-06-16 02:02:34.076605,16,400
efpiva/dover,2014-07-02 01:37:34+00:00,4441,16,C#,16,11,9,1,GPL-3.0,2017-11-13 06:55:42+00:00,3.0,397.0,2026-06-16 02:02:37.641140,3,397
mikebridge/Liquid.NET,2015-03-25 19:06:52+00:00,1330,33,C#,10,15,6,1,MIT,2018-12-06 19:18:11+00:00,2.0,394.0,2026-06-16 02:02:39.805443,2,394
aliencube/AzureFunctions.Extensions,2017-08-29 23:43:21+00:00,2641,24,C#,16,12,4,7,MIT,2019-07-09 00:18:43+00:00,13.0,385.0,2026-06-16 02:02:41.832010,13,385
qmk/qmk_toolbox,2017-09-01 05:09:41+00:00,8384,362,C#,145,20,32,0,MIT,2017-09-01 05:09:44+00:00,36.0,379.0,2026-06-16 02:02:43.926538,38,392
iothua/MagiCloudSDK,2018-11-23 10:25:12+00:00,106196,8,C#,8,9,3,1,MIT,2018-11-24 02:49:14+00:00,8.0,379.0,2026-06-16 02:02:46.573215,8,379
vtortola/WebSocketListener,2014-02-16 03:48:25+00:00,8965,233,C#,62,18,30,6,MIT,2018-01-17 06:43:04+00:00,11.0,375.0,2026-06-16 02:02:53.370634,11,375
Pathoschild/FluentHttpClient,2012-05-14 14:23:55+00:00,1154,146,C#,31,3,12,6,MIT,2019-07-20 02:18:40+00:00,13.0,372.0,2026-06-16 02:02:55.854268,14,384
tsqllint/tsqllint,2017-05-12 19:19:15+00:00,4489,55,C#,22,15,8,9,MIT,2019-01-05 16:25:02+00:00,23.0,363.0,2026-06-16 02:02:57.834118,26,367
evilC/AutoHotInterception,2018-03-06 19:53:59+00:00,330,86,C#,17,18,10,1,MIT,2018-03-06 19:59:55+00:00,7.0,359.0,2026-06-16 02:03:00.028373,7,359
aspnet/AspNetWebHooks,2018-01-19 06:08:32+00:00,2220,52,C#,41,26,22,31,Apache-2.0,2019-03-16 04:37:09+00:00,41.0,356.0,2026-06-16 02:03:02.045046,41,370
dotnet-presentations/aspnetcore-workshop,2017-08-30 19:36:43+00:00,14262,18,C#,6,2,2,13,MIT,2017-09-07 04:34:21+00:00,19.0,355.0,2026-06-16 02:03:04.240984,19,355
atifaziz/Fizzler,2015-08-23 12:30:18+00:00,622,40,C#,12,18,6,2,GPL-3.0,2018-02-23 18:30:36+00:00,2.0,354.0,2026-06-16 02:03:07.015531,2,378
microsoft/azure-devops-dotnet-samples,2016-03-08 16:42:21+00:00,1469,258,C#,235,72,72,8,MIT,2018-01-17 02:32:20+00:00,31.0,353.0,2026-06-16 02:03:08.974786,31,353
mono/stetic,2010-07-22 16:50:13+00:00,1765,10,C#,5,0,30,5,MIT,2017-11-25 09:18:16+00:00,10.0,352.0,2026-06-16 02:03:10.944784,10,36
groupdocs-conversion/GroupDocs.Conversion-for-.NET,2015-12-30 07:57:32+00:00,12679,0,C#,6,0,6,4,MIT,2018-01-16 23:58:31+00:00,18.0,348.0,2026-06-16 02:03:13.056420,18,370
anaisbetts/ModernHttpClient,2013-10-04 08:55:42+00:00,6409,637,C#,278,90,71,27,MIT,2017-03-23 16:06:00+00:00,30.0,335.0,2026-06-16 02:03:17.890776,30,335
unoplatform/workshops,2019-09-19 12:08:00+00:00,4635,19,C#,42,17,12,25,Apache-2.0,2019-10-28 22:30:12+00:00,42.0,331.0,2026-06-16 02:03:20.368058,45,342
architecture-building-systems/revitpythonshell,2015-03-16 09:26:44+00:00,119729,92,C#,33,24,41,2,MIT,2017-11-24 19:06:11+00:00,18.0,331.0,2026-06-16 02:03:24.752558,20,352
mysticmind/reversemarkdown-net,2015-07-06 06:16:38+00:00,171,73,C#,26,2,7,11,MIT,2019-10-19 16:18:30+00:00,23.0,328.0,2026-06-16 02:03:33.840274,29,405
Tayx94/graphy,2018-07-12 16:00:25+00:00,3350,495,C#,26,4,26,6,MIT,2018-12-23 04:17:51+00:00,26.0,320.0,2026-06-16 02:03:36.189390,27,320
sukona/Grapevine,2014-04-10 23:53:03+00:00,2017,173,C#,49,39,25,12,Apache-2.0,2019-08-09 19:18:41+00:00,13.0,315.0,2026-06-16 02:03:39.135699,13,315
mob-sakai/ParticleEffectForUGUI,2018-06-22 10:31:35+00:00,60324,173,C#,29,5,27,1,MIT,2018-11-09 09:03:13+00:00,12.0,310.0,2026-06-16 02:03:41.177873,18,395
petabridge/Akka.Persistence.Azure,2018-06-29 01:08:20+00:00,124,6,C#,5,3,2,5,Apache-2.0,2019-12-30 01:02:47+00:00,11.0,308.0,2026-06-16 02:03:44.271741,11,395
microsoft/WinAppDriver,2016-03-20 08:48:45+00:00,14689,1435,C#,590,362,193,14,MIT,2018-01-16 21:32:35+00:00,32.0,308.0,2026-06-16 02:03:46.394735,34,311
