Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers_count,commit_count_after_introduction
Tucker-Eric/laravel-xml-middleware,2016-12-01 06:17:49+00:00,10,15,PHP,5,2,2,4,MIT,2019-11-14 05:09:05+00:00,9,
kirkbushell/fatty,2012-05-09 23:59:53+00:00,88,40,PHP,5,0,4,1,MIT,2017-03-30 20:05:14+00:00,2,
deis/example-php,2013-11-07 17:16:19+00:00,376,10,PHP,9,0,21,4,MIT,2017-11-24 21:33:54+00:00,5,
OnroerendErfgoed/Lukas,2012-08-07 14:28:28+00:00,144,24,PHP,8,7,6,1,MIT,2016-08-09 20:38:51+00:00,2,
jlcvp/GesiorMonteiro,2017-07-06 13:47:09+00:00,6947,5,PHP,13,4,4,1,MIT,2017-07-23 03:02:10+00:00,5,
graphp/graphml,2015-01-18 01:35:55+00:00,15,9,PHP,5,1,1,1,MIT,2016-05-27 17:12:26+00:00,3,
MWDelaney/sage-bootstrap4-navwalker,2017-12-13 01:41:04+00:00,13,37,PHP,18,1,2,2,MIT,2019-03-15 00:02:51+00:00,5,
romainneutron/ReCaptcha,2013-02-13 18:41:34+00:00,239,27,PHP,10,4,1,2,MIT,2016-08-09 20:38:39+00:00,2,
mmucklo/inflect,2013-02-12 23:22:57+00:00,16,15,PHP,5,2,3,2,MIT,2016-05-27 15:33:06+00:00,4,
pdefreitas/Laravel-VanillaSSO,2014-07-22 16:35:24+00:00,195,7,PHP,6,2,3,3,GPL-2.0,2016-05-27 13:24:47+00:00,3,
phiali/mail_transport_postmark,2010-03-17 18:46:50+00:00,130,25,PHP,8,1,3,2,BSD-3-Clause,2017-11-24 20:13:19+00:00,6,
dan-da/cdc_audit,2014-03-10 09:25:04+00:00,23,15,PHP,8,1,8,1,GPL-2.0,2017-11-24 23:06:20+00:00,4,
dbtlr/silex-doctrine-migrations,2015-02-17 17:43:15+00:00,156,12,PHP,11,3,1,3,MIT,2016-05-27 14:58:43+00:00,5,
