Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
shkuznetsov/gulp-minify-inline,2014-08-30 11:21:31+00:00,31,25,JavaScript,5,1,1,5,MIT,2019-01-28 23:57:06+00:00,6,49
haskellcamargo/gemidao-do-zap,2017-08-07 16:35:02+00:00,729,1657,JavaScript,179,32,50,10,MIT,2017-08-14 16:16:55+00:00,11,49
letsgetrandy/DICSS,2015-03-16 15:21:57+00:00,124,1289,JavaScript,84,31,71,9,MIT,2017-03-30 06:03:56+00:00,10,48
gkaemmer/react-fade-in,2017-05-08 05:33:57+00:00,172,47,JavaScript,7,0,1,3,MIT,2019-12-14 22:49:39+00:00,6,48
tkellen/js-express-bearer-token,2014-10-01 20:15:01+00:00,16,49,JavaScript,15,0,6,8,MIT,2019-04-06 13:41:01+00:00,9,47
nolanlawson/vdom-serialized-patch,2015-11-04 04:20:00+00:00,50,54,JavaScript,7,3,4,4,Apache-2.0,2017-02-20 03:07:21+00:00,4,47
geuis/helium-css,2010-01-15 01:07:59+00:00,261,3622,JavaScript,257,10,141,7,MIT,2016-11-24 13:35:31+00:00,12,46
sindresorhus/alfred-npms,2016-06-26 15:14:55+00:00,196,244,JavaScript,15,2,9,6,MIT,2019-01-11 06:28:14+00:00,7,46
ali-kos/kos,2018-06-14 13:45:58+00:00,93,18,JavaScript,5,1,3,4,Apache-2.0,2019-07-31 06:49:20+00:00,7,46
oracle/dino-date,2016-02-26 00:01:59+00:00,358,13,JavaScript,26,7,18,2,MIT,2017-11-19 06:59:59+00:00,2,46
CryptoMarketMonitor/MarketMonitor,2014-09-12 23:19:51+00:00,1872,15,JavaScript,7,0,4,3,MIT,2017-11-24 21:32:26+00:00,4,45
annnhan/grunt-cptpl,2014-03-15 06:24:33+00:00,26,48,JavaScript,13,0,5,2,MIT,2016-05-27 15:07:36+00:00,6,45
mathisonian/gulp-sass-bulk-import,2014-10-10 18:35:11+00:00,24,42,JavaScript,9,8,4,6,MIT,2016-05-27 14:39:51+00:00,6,45
stackgl/gl-mat4,2014-08-18 17:36:59+00:00,35,50,JavaScript,12,4,14,6,Zlib,2018-04-19 20:38:24+00:00,8,44
gh-conf/gh-conf-read,2019-01-27 10:18:13+00:00,22,2,JavaScript,5,1,2,5,MIT,2019-10-02 15:27:05+00:00,7,44
filepicker/filepicker-angular,2015-08-26 11:32:48+00:00,32,32,JavaScript,12,4,27,3,MIT,2016-05-27 17:59:11+00:00,5,43
coinbase/coinbase-commerce-node,2018-06-13 17:48:43+00:00,67,21,JavaScript,14,1,12,5,MIT,2018-12-25 06:30:23+00:00,13,42
didierfranc/react-code-splitting,2017-02-05 20:34:56+00:00,63,148,JavaScript,12,2,3,4,MIT,2017-05-14 13:59:03+00:00,5,42
Supertext/knockout.groupedOptions,2014-02-07 20:45:37+00:00,696,3,JavaScript,5,0,6,3,MIT,2017-04-24 07:49:06+00:00,4,42
glenjamin/react-hotkey,2014-07-19 11:16:12+00:00,454,36,JavaScript,12,4,6,8,MIT,2019-10-24 19:42:13+00:00,7,41
staxmanade/CssToReact,2016-04-19 05:24:42+00:00,241,103,JavaScript,17,3,3,2,MIT,2017-04-17 07:42:02+00:00,3,41
xuopled/react-google-map,2015-09-11 09:47:59+00:00,11924,13,JavaScript,5,0,1,2,MIT,2018-02-27 04:36:02+00:00,5,41
wechat-miniprogram/kbone-template-vue,2019-09-03 02:35:50+00:00,284,22,JavaScript,5,0,11,1,MIT,2019-12-30 05:13:51+00:00,5,41
ryanbreen/node-pingdom,2011-03-16 12:52:14+00:00,421,21,JavaScript,6,0,1,5,MIT,2017-04-21 16:20:17+00:00,5,41
rjrodger/nid,2013-02-06 12:54:22+00:00,228,27,JavaScript,5,5,3,3,MIT,2016-05-27 16:21:13+00:00,5,41
EHLOVader/laravel-elixir-livereload,2015-03-25 00:40:34+00:00,23,30,JavaScript,9,5,3,3,MIT,2016-06-23 21:33:59+00:00,3,40
doitintl/gSlack,2017-06-21 13:39:15+00:00,228,47,JavaScript,6,2,7,2,MIT,2017-06-28 18:16:48+00:00,8,40
gabegorelick/gulp-po2json,2014-02-21 15:25:47+00:00,21,5,JavaScript,5,1,1,3,MIT,2018-05-07 17:44:29+00:00,3,40
codereviewvideos/react-login-registration,2016-11-21 14:26:06+00:00,176,18,JavaScript,6,0,2,1,MIT,2017-06-26 12:36:46+00:00,2,40
cake-build/cake-yeoman,2016-09-09 03:46:48+00:00,417,3,JavaScript,5,1,6,2,MIT,2019-01-03 22:55:57+00:00,2,39
panr/gatsby-starter-hello-friend,2019-01-03 15:03:41+00:00,2444,13,JavaScript,5,2,1,1,MIT,2019-03-07 07:19:06+00:00,4,39
amfeng/webide,2010-09-15 20:03:12+00:00,947,13,JavaScript,6,1,7,2,MIT,2016-09-15 07:38:19+00:00,2,39
v3921358/MapleStory-JavaScript,2017-01-18 10:15:13+00:00,61,0,JavaScript,6,1,0,0,GPL-3.0,2017-02-03 18:21:23+00:00,4,39
mgcrea/generator-angular-component,2013-07-08 14:46:54+00:00,382,36,JavaScript,11,1,3,5,MIT,2016-05-27 17:36:30+00:00,5,38
1602/ejs-ext,2011-07-06 11:51:28+00:00,150,4,JavaScript,7,1,2,7,MIT,2016-05-27 14:26:37+00:00,8,38
msurguy/ladda-bootstrap,2013-09-08 23:24:54+00:00,94,1250,JavaScript,259,24,52,8,MIT,2016-11-24 13:21:59+00:00,11,37
lolstring/gnome-shell-extension-mycroft,2017-04-12 09:54:22+00:00,3555,33,JavaScript,7,8,8,4,MIT,2017-11-25 06:06:37+00:00,8,37
TopQuadrant/shacl-js,2017-07-15 23:16:32+00:00,474,30,JavaScript,6,3,14,1,Apache-2.0,2017-07-15 23:16:51+00:00,2,37
rootux/angular-highcharts-directive,2013-01-16 18:38:47+00:00,385,168,JavaScript,76,7,15,7,MIT,2016-11-24 13:27:31+00:00,9,36
koa-modules/multer,2015-04-03 08:13:50+00:00,2406,191,JavaScript,24,13,9,4,MIT,2017-01-17 04:41:21+00:00,6,36
