Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers_count,commit_count_after_introduction
openhybrid/HybridObject,2015-06-21 22:42:04+00:00,10623,48,C++,7,0,8,1,MPL-2.0,2017-11-24 19:41:13+00:00,4,
VaclavSynacek/RF24SN_CPP_Server,2014-07-20 21:04:11+00:00,11,8,C++,6,1,1,2,MIT,2019-06-18 18:38:30+00:00,3,
sparkfun/SparkFun_MAX17043_Particle_Library,2015-06-22 19:09:01+00:00,283,11,C++,8,2,50,1,MIT,2017-11-24 23:19:50+00:00,2,
jolson88/BeatBuilder,2014-03-25 20:35:50+00:00,2274,14,C++,9,1,6,1,MIT,2017-11-25 00:19:23+00:00,2,14
lu-zero/libbmd,2012-11-22 01:30:44+00:00,111,9,C++,8,10,7,2,LGPL-3.0,2017-11-24 23:49:17+00:00,2,
SteerSuite/steersuite-rutgers,2016-09-06 16:59:14+00:00,8549,2,C++,53,5,4,2,GPL-3.0,2016-09-20 01:37:39+00:00,3,
ihehui/StocksInfo,2016-05-21 15:07:17+00:00,467,14,C++,7,2,3,1,GPL-3.0,2016-07-08 01:47:09+00:00,2,
laowais/bitcoindark,2014-07-13 22:06:17+00:00,4875,19,C++,17,3,5,3,MIT,2016-12-29 16:21:28+00:00,5,
snowytoxa/selfhash,2014-03-25 17:51:34+00:00,1531,17,C++,8,1,5,2,BSD-2-Clause,2017-11-25 05:23:10+00:00,3,
bbx10/WebServer_tng,2017-06-02 23:57:18+00:00,231,34,C++,18,11,8,0,LGPL-2.1,2017-06-02 23:57:21+00:00,5,
zhulianhua/fvLBM,2015-04-23 14:27:47+00:00,401,5,C++,9,0,2,1,MIT,2016-08-09 06:54:57+00:00,2,
portumo/chinese-bankCard-idcard-recognition,2018-03-27 05:43:17+00:00,22297,1,C++,6,0,0,1,Apache-2.0,2018-03-27 05:43:58+00:00,2,
kylemcdonald/ofxTiming,2012-11-11 19:30:36+00:00,12,23,C++,5,0,2,1,MIT,2017-11-24 19:54:33+00:00,2,
vmcall/token_manipulation,2017-09-07 18:50:05+00:00,29,22,C++,11,1,5,1,GPL-3.0,2017-09-12 05:41:21+00:00,3,
CastellanZhang/alphaFM,2016-10-22 09:55:53+00:00,35,297,C++,132,22,27,1,MIT,2016-10-24 03:56:56+00:00,2,
iniside/TimeOfDayPlugin,2014-11-27 23:09:38+00:00,684,8,C++,6,0,5,1,MIT,2017-08-27 05:49:04+00:00,3,
PacktPublishing/CPP-Game-Development-Cookbook,2016-05-30 14:21:55+00:00,137011,18,C++,6,0,5,1,MIT,2016-06-30 19:13:01+00:00,2,
BCN3D/BCN3D-Moveo,2016-07-28 11:07:14+00:00,100194,638,C++,274,23,180,3,MIT,2016-11-24 17:24:06+00:00,4,
qiyeboy/LuLunZi,2017-08-13 09:24:20+00:00,329,21,C++,21,1,3,1,Apache-2.0,2019-11-26 07:11:33+00:00,2,
louk78/Virgo,2017-03-09 06:13:09+00:00,25,6,C++,6,0,1,1,Apache-2.0,2017-10-03 23:28:08+00:00,2,
nanomsg/cppnanomsg,2013-02-03 08:00:33+00:00,154,80,C++,23,3,17,3,MIT,2017-06-10 09:36:39+00:00,4,
GameTechDev/LightScattering,2013-10-04 18:32:23+00:00,102246,64,C++,15,0,33,1,Apache-2.0,2017-01-17 16:21:42+00:00,4,
wubenqi/zengine,2014-01-06 13:53:58+00:00,11059,11,C++,7,1,2,1,Apache-2.0,2018-01-22 16:27:30+00:00,2,
wastel7/MashBerry,2014-06-24 06:43:43+00:00,660,17,C++,7,1,7,0,GPL-3.0,2017-11-24 23:16:24+00:00,2,
NoahZuo/GhostMeshPlugin,2016-06-18 02:06:40+00:00,15389,43,C++,30,0,12,1,MIT,2016-06-18 02:06:45+00:00,2,
jroivas/waterwatch,2014-01-13 19:58:19+00:00,180,4,C++,6,0,2,1,BSD-3-Clause,2017-12-13 06:49:44+00:00,2,
ChicoState/Minefield,2016-03-07 01:43:55+00:00,25,0,C++,77,0,1,1,GPL-3.0,2019-09-21 00:37:53+00:00,2,
kaoshijuan/aiml,2012-11-28 15:29:46+00:00,1075,11,C++,7,1,2,1,GPL-2.0,2017-11-24 22:32:45+00:00,2,
cpp11nullptr/lnetlib,2015-10-13 20:23:01+00:00,500,28,C++,5,0,3,1,MIT,2017-11-24 19:56:40+00:00,2,
m5stack/M5Stack-platformio,2017-09-26 03:44:55+00:00,4,10,C++,6,0,4,2,MIT,2017-10-14 12:51:19+00:00,2,
hyperledger/iroha-dotnet,2017-06-03 03:27:37+00:00,287,18,C++,10,1,36,0,Apache-2.0,2017-06-03 03:27:47+00:00,3,
arms22/SoftModem,2013-07-02 14:37:12+00:00,224,68,C++,18,3,7,1,BSD-3-Clause,2017-11-24 20:01:17+00:00,2,
sabottenda/libclang-sample,2013-07-21 12:32:42+00:00,161,20,C++,6,0,4,3,MIT,2017-11-24 21:41:50+00:00,2,
muskie82/AR-Depth-cpp,2019-04-16 22:50:45+00:00,1407422,77,C++,10,3,4,1,GPL-3.0,2019-12-30 05:35:39+00:00,3,
HexHive/malWASH,2016-05-20 18:49:44+00:00,2455,50,C++,14,0,10,1,GPL-3.0,2016-06-28 17:38:13+00:00,2,
bruderstein/NppTidy2,2012-09-08 11:05:22+00:00,59,60,C++,30,6,12,1,GPL-2.0,2017-11-24 20:04:18+00:00,2,
ValveSoftware/driver_hydra,2016-04-18 02:31:10+00:00,407,68,C++,47,2,34,3,BSD-3-Clause,2017-04-14 18:43:09+00:00,3,
nlamprian/ICP,2015-06-16 16:48:57+00:00,18748,9,C++,6,4,1,2,MIT,2019-04-24 23:36:24+00:00,3,
bkubicek/grecode,2013-10-30 08:42:20+00:00,198,19,C++,9,3,3,2,GPL-3.0,2017-04-06 00:02:53+00:00,2,
HackerPoet/Particle-Life,2018-10-25 23:03:13+00:00,496,118,C++,12,2,4,1,MIT,2019-04-27 02:56:54+00:00,2,
Ding-Liu/DeepDenoising,2017-06-13 07:37:05+00:00,11486,30,C++,11,3,5,0,GPL-3.0,2017-06-13 06:06:40+00:00,2,
Samsung/SVIEngine,2015-03-26 09:02:17+00:00,66759,18,C++,10,0,11,2,Apache-2.0,2017-10-04 20:36:39+00:00,2,
pranavkantgaur/3dscan,2017-11-24 03:51:58+00:00,216150,15,C++,10,0,3,1,MIT,2017-11-24 17:04:17+00:00,2,
albertoCrive/homographyTrackingDemo,2014-11-24 17:04:09+00:00,4939,52,C++,32,0,11,0,GPL-2.0,2017-11-24 20:02:17+00:00,2,
jrbedard/3d-converter,2008-12-19 03:32:56+00:00,244,48,C++,15,2,10,1,MIT,2017-06-12 08:36:36+00:00,2,
ANSSI-FR/nogaxeh,2016-06-22 15:11:30+00:00,65,27,C++,6,1,4,1,GPL-3.0,2016-06-22 15:11:54+00:00,2,
adityarao/makers-lab,2018-02-07 09:21:29+00:00,3,0,C++,29,0,1,2,MIT,2018-02-08 11:14:54+00:00,2,
CARTAvis/carta,2016-11-30 03:01:33+00:00,27271,6,C++,7,78,7,10,GPL-3.0,2016-12-14 09:48:57+00:00,3,
adamtornhill/tinch_pp,2014-02-09 11:57:22+00:00,264,26,C++,8,1,3,0,BSD-2-Clause,2017-11-24 20:03:02+00:00,2,
amjuarez/bytecoin-gui,2017-08-04 13:40:34+00:00,1005,29,C++,63,7,11,0,LGPL-3.0,2017-08-04 13:47:15+00:00,2,
Joker-388/JKRAVCamera,2017-02-15 13:58:23+00:00,6980,33,C++,10,0,2,0,MIT,2017-02-15 14:05:15+00:00,2,
bilibili/soundtouch,2017-04-01 03:12:11+00:00,290,16,C++,6,0,8,2,LGPL-2.1,2017-04-01 05:16:23+00:00,3,
limmh/cef_mfc_demo,2017-04-25 07:37:39+00:00,12,6,C++,5,1,1,1,MIT,2017-04-25 21:06:35+00:00,2,
BankOfCommunications/CBASE,2018-12-24 05:37:25+00:00,46386,15,C++,17,2,1,2,GPL-2.0,2019-11-10 14:35:49+00:00,2,
JohnWordsworth/plist-pad,2013-07-18 09:40:24+00:00,118,16,C++,6,3,1,1,GPL-3.0,2017-11-24 23:38:02+00:00,2,
mangosfour/scripts,2013-01-26 22:17:40+00:00,2134,10,C++,12,0,11,1,GPL-2.0,2017-11-24 22:10:52+00:00,2,
