Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
datumbox/datumbox-framework,2014-10-18 18:10:08+00:00,4386,970,Java,275,2,135,2,Apache-2.0,2018-01-19 07:59:39+00:00,5,615
consp1racy/android-support-preference,2015-05-14 10:01:26+00:00,3434,330,Java,53,10,8,3,Apache-2.0,2018-12-21 12:18:15+00:00,4,611
GwtMaterialDesign/gwt-material-table,2016-07-18 08:38:11+00:00,830,26,Java,24,48,13,7,Apache-2.0,2018-11-26 17:55:31+00:00,12,606
beijunyi/ParallelGit,2014-12-29 16:29:19+00:00,2548,97,Java,15,1,12,2,Apache-2.0,2016-05-27 13:13:02+00:00,6,590
cltl/EventCoreference,2013-10-25 14:55:10+00:00,74879,17,Java,9,1,11,4,Apache-2.0,2017-11-25 09:25:45+00:00,8,581
1and1/Troilus,2014-12-16 10:07:45+00:00,2236,17,Java,5,3,12,5,Apache-2.0,2017-11-24 19:16:22+00:00,8,564
krasa/StringManipulation,2014-03-14 21:45:47+00:00,342,161,Java,22,12,9,1,Apache-2.0,2017-11-24 18:42:16+00:00,15,554
Aptoide/aptoide-uploader,2016-04-12 15:04:18+00:00,2761,13,Java,6,3,17,1,GPL-2.0,2017-11-24 21:42:20+00:00,20,554
infinitape/etherjar,2016-08-28 12:04:57+00:00,857,21,Java,12,8,13,2,Apache-2.0,2016-11-02 11:40:36+00:00,10,553
ultramega/elementary,2012-06-24 03:27:03+00:00,79530,21,Java,11,2,8,3,MIT,2017-11-24 19:56:55+00:00,8,552
ome/omero-romio,2018-12-12 15:49:08+00:00,537,0,Java,10,0,7,12,GPL-2.0,2019-04-26 12:14:19+00:00,23,545
Tesora/tesora-dve-pub,2014-05-14 16:04:03+00:00,8772,17,Java,5,0,24,6,AGPL-3.0,2017-06-09 23:39:08+00:00,6,533
tywo45/t-io,2017-03-30 03:17:13+00:00,32925,1046,Java,385,5,87,1,Apache-2.0,2017-04-16 07:11:24+00:00,12,522
commercetools/commercetools-sunrise-data,2015-08-20 12:02:17+00:00,12364,6,Java,8,25,46,11,Apache-2.0,2018-01-19 01:35:36+00:00,39,516
dessalines/torrenttunes-client,2015-05-21 00:25:12+00:00,22541,367,Java,44,13,42,2,GPL-3.0,2017-10-13 08:38:28+00:00,4,516
qmetry/qaf,2016-07-22 12:31:30+00:00,210980,100,Java,81,49,52,1,MIT,2016-07-22 13:03:51+00:00,14,506
fasseg/exp4j,2011-07-07 10:24:51+00:00,1053,206,Java,77,25,32,5,Apache-2.0,2017-03-28 01:15:22+00:00,10,496
JasonFengIce/AndroidTVWidget,2016-11-04 09:11:24+00:00,13226,18,Java,7,0,4,0,Apache-2.0,2016-11-04 09:11:56+00:00,8,492
Top-Q/difido-reports,2014-07-01 17:36:40+00:00,9463,21,Java,12,34,24,5,Apache-2.0,2016-05-26 19:23:35+00:00,29,491
McJtyMods/RFToolsPower,2018-03-13 04:33:44+00:00,159,0,Java,5,11,2,1,MIT,2018-03-13 04:49:04+00:00,6,487
hellojavaer/ddal,2016-11-18 17:26:12+00:00,1865,27,Java,10,0,8,1,Apache-2.0,2016-11-18 17:26:16+00:00,4,487
jeltedeproft/Norii,2018-11-18 23:13:17+00:00,232084,16,Java,12,7,0,3,Apache-2.0,2019-11-08 08:25:12+00:00,7,484
bkimminich/kata-tcg,2014-01-08 23:51:59+00:00,11558,9,Java,7,1,2,2,MIT,2017-03-05 01:22:08+00:00,3,468
ripple/ripple-lib-java,2013-09-20 00:09:11+00:00,9796,89,Java,79,32,36,11,ISC,2017-11-24 19:01:52+00:00,14,464
timols/java-gitlab-api,2013-05-19 02:48:09+00:00,929,286,Java,261,31,45,98,Apache-2.0,2018-11-26 05:53:53+00:00,125,456
zekroTJA/DiscordBot,2017-01-25 15:42:34+00:00,101782,15,Java,27,1,7,0,Apache-2.0,2017-01-25 16:09:01+00:00,12,451
xuxueli/xxl-incubator,2016-06-22 13:36:43+00:00,12561,2,Java,11,0,3,1,GPL-3.0,2016-08-18 02:12:45+00:00,4,448
CityZenApp/Android-Development,2017-07-11 10:19:59+00:00,5480,33,Java,20,26,12,1,MPL-2.0,2017-07-11 10:21:19+00:00,87,443
Aeronbroker/Aeron,2014-03-21 09:50:47+00:00,29634,17,Java,11,4,9,5,BSD-3-Clause,2017-11-24 19:38:17+00:00,15,439
camelinaction/camelinaction,2014-01-28 01:16:19+00:00,1063,154,Java,205,0,41,5,Apache-2.0,2017-11-24 18:34:35+00:00,8,429
lwes/lwes-java,2011-02-26 00:29:50+00:00,1044,7,Java,22,4,4,6,BSD-3-Clause,2017-11-25 10:38:50+00:00,15,425
sayems/java.webdriver,2012-09-27 19:30:12+00:00,45548,104,Java,109,1,31,2,GPL-2.0,2017-11-11 01:58:26+00:00,3,423
jcabi/jcabi-maven-plugin,2013-09-04 13:18:42+00:00,975,20,Java,16,3,5,16,BSD-3-Clause,2017-05-18 16:38:56+00:00,25,406
aserg-ufmg/RefDiff,2017-02-02 01:35:29+00:00,25017,41,Java,6,2,6,1,MIT,2017-04-06 08:12:31+00:00,6,398
jenkinsci/htmlpublisher-plugin,2010-12-13 05:38:47+00:00,168,58,Java,101,2,136,19,MIT,2018-06-27 04:58:00+00:00,54,396
fiji/Stitching,2014-01-08 00:34:54+00:00,791,30,Java,33,28,18,10,GPL-2.0,2017-11-24 19:19:39+00:00,15,392
kuleuven/jenkins-mattermost-plugin,2015-10-23 14:29:35+00:00,318,24,Java,38,6,3,40,MIT,2017-07-24 09:50:19+00:00,59,388
GcsSloop/diycode,2017-02-03 08:00:21+00:00,1519,943,Java,208,13,33,0,Apache-2.0,2017-02-03 08:02:44+00:00,2,379
kshoji/USB-MIDI-Driver,2012-04-13 05:03:35+00:00,2606,194,Java,73,15,36,5,Apache-2.0,2017-02-23 14:57:01+00:00,13,377
manolo/gwtupload,2012-09-28 12:37:31+00:00,1119,45,Java,40,17,19,8,Apache-2.0,2016-05-27 15:31:52+00:00,14,373
Codingpedia/podcastpedia,2015-06-03 05:08:04+00:00,12520,55,Java,43,0,10,1,MIT,2017-11-24 19:00:46+00:00,2,367
SecUSo/privacy-friendly-notes,2016-05-03 21:49:16+00:00,697,32,Java,12,35,9,1,GPL-3.0,2016-11-24 01:17:58+00:00,14,364
momodalo/vimtouch,2012-09-11 05:22:19+00:00,7004,306,Java,69,45,42,3,Apache-2.0,2017-11-24 18:29:29+00:00,7,363
Ardesco/selenium-standalone-server-plugin,2012-04-19 21:04:01+00:00,1060,64,Java,44,15,19,5,Apache-2.0,2017-06-12 15:47:49+00:00,11,361
EntityAPIDev/EntityAPI,2013-11-14 07:16:37+00:00,2460,9,Java,16,0,8,7,LGPL-3.0,2017-11-25 04:14:20+00:00,7,359
mmazi/rescu,2013-03-02 18:30:02+00:00,533,33,Java,38,15,6,14,MIT,2016-05-27 15:17:32+00:00,30,357
wso2/balana,2014-02-26 09:17:19+00:00,4093,51,Java,76,20,102,25,Apache-2.0,2018-01-18 08:50:47+00:00,60,352
dynamicreports/dynamicreports,2018-04-05 10:28:53+00:00,3451,33,Java,14,11,15,2,LGPL-3.0,2018-12-03 07:45:15+00:00,10,348
Hygieia/hygieia-core,2018-10-22 16:58:18+00:00,2706,14,Java,102,6,10,4,Apache-2.0,2018-11-15 19:30:12+00:00,39,344
ixa-ehu/kaflib,2013-04-17 10:37:13+00:00,767,3,Java,7,0,6,10,Apache-2.0,2016-05-27 16:32:14+00:00,12,336
stevensouza/automon,2015-02-27 11:11:45+00:00,8341,450,Java,117,0,49,1,Apache-2.0,2017-09-11 08:37:23+00:00,2,334
avadev/AvaTax-REST-V2-JRE-SDK,2016-12-09 23:44:37+00:00,2219,5,Java,11,3,13,1,Apache-2.0,2016-12-15 13:28:46+00:00,30,333
mitmel/Locast-Android,2011-11-09 16:47:14+00:00,5050,10,Java,8,19,2,2,GPL-2.0,2017-05-24 23:36:35+00:00,5,331
phxql/argon2-jvm,2016-01-09 19:32:58+00:00,1964,142,Java,15,8,17,1,LGPL-3.0,2017-11-24 19:04:47+00:00,10,328
oblador/react-native-keychain,2015-05-20 15:33:48+00:00,760,1518,Java,267,54,22,53,MIT,2019-12-28 22:16:44+00:00,90,325
wso2-extensions/siddhi-execution-map,2016-11-18 08:42:38+00:00,455,0,Java,10,0,20,1,Apache-2.0,2016-11-18 08:45:00+00:00,43,325
